"","DU_09","DU_17","EL_09","EL_17","HB_09","HB_17","KN_09","KN_17","MB_09","MB_17","PA_09","PA_17","PE_09","PE_17","RB_17","SB_17","SM_17","TB_09","TB_17"
"DU_09",0,0.1801,0.1227,0.1592,0.5621,0.5214,0.1126,0.281,0.6529,0.6808,0.2387,0.3092,0.0555,0.0505,0.4591,0.7582,0.7582,0.7544,0.7585
"DU_17",0.1801,0,0.0841,0.3081,0.1719,0.1079,0,0,0.2674,0.305,0.0632,0,0,0.0174,0.08,0.4127,0.4127,0.4035,0.4134
"EL_09",0.1227,0.0841,0,0.0441,0.2939,0.241,0.0675,0.1231,0.3574,0.3832,0.1075,0.1362,0.0313,0.0222,0.2225,0.4514,0.4514,0.4428,0.4521
"EL_17",0.1592,0.3081,0.0441,0,0.5663,0.529,0.2631,0.3756,0.6258,0.6464,0.2637,0.3944,0.1604,0.1012,0.496,0.7008,0.7008,0.6959,0.7012
"HB_09",0.5621,0.1719,0.2939,0.5663,0,0,0.2437,0.0848,0,0,0.0479,0.0635,0.1946,0.1755,0,0.1017,0.1017,0.0877,0.1029
"HB_17",0.5214,0.1079,0.241,0.529,0,0,0.1831,0.0177,0,0,0,0,0.1355,0.1179,0,0.0581,0.0581,0.0426,0.0595
"KN_09",0.1126,0,0.0675,0.2631,0.2437,0.1831,0,0.0147,0.3427,0.3791,0.0872,0.0303,0,0.0058,0.1428,0.4818,0.4818,0.4737,0.4825
"KN_17",0.281,0,0.1231,0.3756,0.0848,0.0177,0.0147,0,0.1697,0.2078,0.0413,0,0.0252,0.0458,0.0125,0.3205,0.3205,0.3099,0.3214
"MB_09",0.6529,0.2674,0.3574,0.6258,0,0,0.3427,0.1697,0,0,0.0536,0.1442,0.2589,0.2196,0.0309,0.0156,0.0156,0,0.0169
"MB_17",0.6808,0.305,0.3832,0.6464,0,0,0.3791,0.2078,0,0,0.0691,0.1821,0.2865,0.2422,0.0647,0.0068,0.0068,0,0.0081
"PA_09",0.2387,0.0632,0.1075,0.2637,0.0479,0,0.0872,0.0413,0.0536,0.0691,0,0.0371,0.0547,0.0319,0.035,0.1017,0.1017,0.0877,0.1029
"PA_17",0.3092,0,0.1362,0.3944,0.0635,0,0.0303,0,0.1442,0.1821,0.0371,0,0.0375,0.0554,0,0.2958,0.2958,0.2848,0.2967
"PE_09",0.0555,0,0.0313,0.1604,0.1946,0.1355,0,0.0252,0.2589,0.2865,0.0547,0.0375,0,0,0.1221,0.3586,0.3586,0.3486,0.3594
"PE_17",0.0505,0.0174,0.0222,0.1012,0.1755,0.1179,0.0058,0.0458,0.2196,0.2422,0.0319,0.0554,0,0,0.1208,0.2971,0.2971,0.2861,0.298
"RB_17",0.4591,0.08,0.2225,0.496,0,0,0.1428,0.0125,0.0309,0.0647,0.035,0,0.1221,0.1208,0,0.1775,0.1775,0.1646,0.1786
"SB_17",0.7582,0.4127,0.4514,0.7008,0.1017,0.0581,0.4818,0.3205,0.0156,0.0068,0.1017,0.2958,0.3586,0.2971,0.1775,0,0,0,0
"SM_17",0.7582,0.4127,0.4514,0.7008,0.1017,0.0581,0.4818,0.3205,0.0156,0.0068,0.1017,0.2958,0.3586,0.2971,0.1775,0,0,0,0
"TB_09",0.7544,0.4035,0.4428,0.6959,0.0877,0.0426,0.4737,0.3099,0,0,0.0877,0.2848,0.3486,0.2861,0.1646,0,0,0,0
"TB_17",0.7585,0.4134,0.4521,0.7012,0.1029,0.0595,0.4825,0.3214,0.0169,0.0081,0.1029,0.2967,0.3594,0.298,0.1786,0,0,0,0
